threeday_yrmo,threeday_yr,year,dayofyear,varvartemp1_C_0-10mAvg
299,299,1982,176,14.0
300,300,1982,179,13.7
301,301,1982,182,14.0
302,302,1982,185,13.8
303,303,1982,188,13.8
304,304,1982,191,14.2
305,305,1982,194,14.6
306,306,1982,197,14.3
307,307,1982,200,14.5
308,308,1982,203,14.5
309,309,1982,206,14.5
310,310,1982,209,14.8
311,311,1982,212,15.1
312,312,1982,215,14.6
313,313,1982,218,14.5
314,314,1982,221,14.6
315,315,1982,224,14.5
316,316,1982,227,14.3
317,317,1982,230,14.3
318,318,1982,233,14.2
319,319,1982,236,13.9
320,320,1982,239,14.2
321,321,1982,242,14.2
322,322,1982,245,14.1
323,323,1982,248,13.9
324,324,1982,251,13.6
325,325,1982,254,13.3
326,326,1982,257,13.2
327,327,1982,260,13.1
328,328,1982,263,13.1
329,329,1982,266,13.1
330,330,1982,269,12.9
331,331,1982,272,12.4
332,332,1982,275,12.2
333,333,1982,278,11.8
334,334,1982,281,11.1
335,335,1982,284,11.2
336,336,1982,287,11.3
337,337,1982,290,11.1
338,338,1982,293,10.5
339,339,1982,296,10.3
340,340,1982,299,10.1
341,341,1982,302,9.9
342,342,1982,305,9.6
343,343,1982,308,9.5
344,344,1982,311,9.2
345,345,1982,314,8.9
346,346,1982,317,8.6
347,347,1982,320,8.3
348,348,1982,323,8.2
349,349,1982,326,7.8
350,350,1982,329,7.4
351,351,1982,332,7.5
352,352,1982,335,7.7
353,353,1982,338,7.8
354,354,1982,341,7.4
355,355,1982,344,7.2
356,356,1982,347,7.2
357,357,1982,350,7.6
358,358,1982,353,7.6
359,359,1982,356,7.4
360,360,1982,360,6.9
361,361,1983,2,6.5
362,362,1983,5,6.7
363,363,1983,8,6.8
364,364,1983,11,6.7
365,365,1983,14,6.7
366,366,1983,17,6.5
367,367,1983,20,6.7
368,368,1983,23,6.6
369,369,1983,26,6.8
370,370,1983,29,6.8
371,371,1983,32,6.8
372,372,1983,35,6.6
373,373,1983,38,6.6
374,374,1983,41,6.7
375,375,1983,44,7.0
376,376,1983,47,7.1
377,377,1983,50,7.1
378,378,1983,53,7.1
379,379,1983,56,7.2
380,380,1983,59,7.3
381,381,1983,62,7.2
382,382,1983,65,7.3
383,383,1983,68,7.5
384,384,1983,71,7.7
385,385,1983,74,7.7
386,386,1983,77,7.8
387,387,1983,80,8.1
388,388,1983,83,8.2
389,389,1983,86,8.3
390,390,1983,89,8.2
391,391,1983,92,8.3
392,392,1983,95,8.5
393,393,1983,98,8.7
394,394,1983,101,8.7
395,395,1983,104,8.9
396,396,1983,107,9.3
397,397,1983,110,9.7
398,398,1983,113,9.9
399,399,1983,116,9.7
400,400,1983,119,10.1
401,401,1983,122,10.7
402,402,1983,125,11.0
403,403,1983,128,10.9
404,404,1983,131,11.1
405,405,1983,134,11.6
406,406,1983,137,11.7
407,407,1983,140,11.9
408,408,1983,143,12.3
409,409,1983,146,12.7
410,410,1983,149,13.2
411,411,1983,152,13.6
412,412,1983,155,13.7
413,413,1983,158,14.0
414,414,1983,161,13.8
415,415,1983,164,13.6
416,416,1983,167,13.7
417,417,1983,170,13.6
418,418,1983,173,14.0
419,419,1983,176,13.9
420,420,1983,179,14.1
421,421,1983,182,14.2
422,422,1983,185,14.2
423,423,1983,188,14.5
424,424,1983,191,14.5
425,425,1983,194,13.9
426,426,1983,197,14.0
427,427,1983,200,14.8
428,428,1983,203,15.0
429,429,1983,206,15.2
430,430,1983,209,14.7
431,431,1983,212,15.1
432,432,1983,215,15.3
433,433,1983,218,15.3
434,434,1983,221,15.1
435,435,1983,224,15.1
436,436,1983,227,15.3
437,437,1983,230,15.3
438,438,1983,233,14.9
439,439,1983,236,14.8
440,440,1983,239,14.8
441,441,1983,242,14.4
442,442,1983,245,14.6
443,443,1983,248,14.4
444,444,1983,251,13.9
445,445,1983,254,13.5
446,446,1983,257,13.7
447,447,1983,260,13.6
448,448,1983,263,13.0
449,449,1983,266,12.9
450,450,1983,269,12.9
451,451,1983,272,12.1
452,452,1983,275,11.9
453,453,1983,278,11.8
454,454,1983,281,11.6
455,455,1983,284,11.4
456,456,1983,287,11.3
457,457,1983,290,11.2
458,458,1983,293,10.9
459,459,1983,296,10.7
460,460,1983,299,10.4
461,461,1983,302,10.3
462,462,1983,305,10.2
463,463,1983,308,10.1
464,464,1983,311,9.8
465,465,1983,314,9.6
466,466,1983,317,9.5
467,467,1983,320,9.4
468,468,1983,323,9.3
469,469,1983,326,8.9
470,470,1983,329,8.7
471,471,1983,332,8.5
472,472,1983,335,8.0
473,473,1983,338,7.6
474,474,1983,341,7.3
475,475,1983,344,7.4
476,476,1983,347,7.5
477,477,1983,350,7.4
478,478,1983,353,7.0
479,479,1983,356,6.2
480,480,1983,360,5.6
481,481,1984,2,6.0
482,482,1984,5,6.3
483,483,1984,8,6.3
484,484,1984,11,6.3
485,485,1984,14,6.2
486,486,1984,17,5.9
487,487,1984,20,5.6
488,488,1984,23,5.9
489,489,1984,26,6.1
490,490,1984,29,6.3
491,491,1984,32,6.2
492,492,1984,35,6.3
493,493,1984,38,6.5
494,494,1984,41,6.8
495,495,1984,44,7.0
496,496,1984,47,7.0
497,497,1984,50,6.9
498,498,1984,53,6.9
499,499,1984,56,6.8
500,500,1984,59,6.8
501,501,1984,62,6.9
502,502,1984,65,7.0
503,503,1984,68,7.3
504,504,1984,71,7.5
505,505,1984,74,7.5
506,506,1984,77,7.6
507,507,1984,80,7.7
508,508,1984,83,7.8
509,509,1984,86,7.9
510,510,1984,89,8.1
511,511,1984,92,8.4
512,512,1984,95,8.5
513,513,1984,98,8.4
514,514,1984,101,8.4
515,515,1984,104,8.3
516,516,1984,107,8.5
517,517,1984,110,8.8
518,518,1984,113,9.0
519,519,1984,116,8.9
520,520,1984,119,9.2
521,521,1984,122,9.5
522,522,1984,125,9.6
523,523,1984,128,9.9
524,524,1984,131,10.1
525,525,1984,134,10.2
526,526,1984,137,10.4
527,527,1984,140,10.6
528,528,1984,143,10.6
529,529,1984,146,10.6
530,530,1984,149,11.2
531,531,1984,152,11.4
532,532,1984,155,11.6
533,533,1984,158,11.8
534,534,1984,161,12.1
535,535,1984,164,12.6
536,536,1984,167,13.0
537,537,1984,170,13.3
538,538,1984,173,13.5
539,539,1984,176,13.9
540,540,1984,179,13.8
541,541,1984,182,13.2
542,542,1984,185,13.2
543,543,1984,188,13.6
544,544,1984,191,13.9
545,545,1984,194,14.2
546,546,1984,197,14.4
547,547,1984,200,14.4
548,548,1984,203,14.2
549,549,1984,206,14.2
550,550,1984,209,14.3
551,551,1984,212,14.5
552,552,1984,215,14.7
553,553,1984,218,14.9
554,554,1984,221,14.6
555,555,1984,224,14.5
556,556,1984,227,14.5
557,557,1984,230,14.6
558,558,1984,233,14.6
559,559,1984,236,14.5
560,560,1984,239,14.3
561,561,1984,242,13.8
562,562,1984,245,13.6
563,563,1984,248,13.4
564,564,1984,251,13.1
565,565,1984,254,13.0
566,566,1984,257,12.8
567,567,1984,260,12.8
568,568,1984,263,12.8
569,569,1984,266,12.4
570,570,1984,269,12.1
571,571,1984,272,11.9
572,572,1984,275,11.8
573,573,1984,278,11.8
574,574,1984,281,11.4
575,575,1984,284,11.0
576,576,1984,287,10.7
577,577,1984,290,10.6
578,578,1984,293,10.3
579,579,1984,296,10.1
580,580,1984,299,9.9
581,581,1984,302,9.6
582,582,1984,305,9.2
583,583,1984,308,8.7
584,584,1984,311,8.7
585,585,1984,314,8.6
586,586,1984,317,8.4
587,587,1984,320,8.2
588,588,1984,323,8.1
589,589,1984,326,8.1
590,590,1984,329,8.0
591,591,1984,332,7.8
592,592,1984,335,7.6
593,593,1984,338,7.2
594,594,1984,341,6.8
595,595,1984,344,7.0
596,596,1984,347,7.0
597,597,1984,350,7.0
598,598,1984,353,6.4
599,599,1984,356,6.1
600,600,1984,361,6.0
601,601,1985,2,5.4
602,602,1985,5,5.5
603,603,1985,8,5.7
604,604,1985,11,5.7
605,605,1985,14,5.7
606,606,1985,17,6.0
607,607,1985,20,6.1
608,608,1985,23,6.2
609,609,1985,26,6.1
610,610,1985,29,6.0
611,611,1985,32,5.8
612,612,1985,35,5.7
613,613,1985,38,5.9
614,614,1985,41,5.8
615,615,1985,44,6.2
616,616,1985,47,6.2
617,617,1985,50,6.2
618,618,1985,53,6.2
619,619,1985,56,6.4
620,620,1985,59,6.6
621,621,1985,62,6.8
622,622,1985,65,6.8
623,623,1985,68,6.8
624,624,1985,71,6.9
625,625,1985,74,7.1
626,626,1985,77,7.4
627,627,1985,80,7.5
628,628,1985,83,7.5
629,629,1985,86,7.5
630,630,1985,89,7.5
631,631,1985,92,7.5
632,632,1985,95,7.6
633,633,1985,98,8.0
634,634,1985,101,8.5
635,635,1985,104,8.7
636,636,1985,107,8.8
637,637,1985,110,8.9
638,638,1985,113,8.8
639,639,1985,116,8.8
640,640,1985,119,8.7
641,641,1985,122,9.2
642,642,1985,125,9.3
643,643,1985,128,9.4
644,644,1985,131,9.7
645,645,1985,134,9.8
646,646,1985,137,10.3
647,647,1985,140,11.1
648,648,1985,143,11.6
649,649,1985,146,11.9
650,650,1985,149,12.3
651,651,1985,152,12.4
652,652,1985,155,12.6
653,653,1985,158,12.5
654,654,1985,161,12.7
655,655,1985,164,12.8
656,656,1985,167,12.7
657,657,1985,170,12.9
658,658,1985,173,12.7
659,659,1985,176,12.7
660,660,1985,179,13.3
661,661,1985,182,13.2
662,662,1985,185,13.4
663,663,1985,188,13.7
664,664,1985,191,14.3
665,665,1985,194,14.6
666,666,1985,197,14.2
667,667,1985,200,14.4
668,668,1985,203,14.7
669,669,1985,206,14.9
670,670,1985,209,14.7
671,671,1985,212,14.3
672,672,1985,215,14.2
673,673,1985,218,14.4
674,674,1985,221,14.6
675,675,1985,224,14.3
676,676,1985,227,14.1
677,677,1985,230,14.1
678,678,1985,233,13.9
679,679,1985,236,14.1
680,680,1985,239,13.7
681,681,1985,242,13.6
682,682,1985,245,13.4
683,683,1985,248,13.3
684,684,1985,251,12.9
685,685,1985,254,12.8
686,686,1985,257,12.3
687,687,1985,260,12.1
688,688,1985,263,12.1
689,689,1985,266,12.0
690,690,1985,269,12.0
691,691,1985,272,11.7
692,692,1985,275,11.6
693,693,1985,278,11.3
694,694,1985,281,10.9
695,695,1985,284,10.4
696,696,1985,287,10.2
697,697,1985,290,10.1
698,698,1985,293,9.9
699,699,1985,296,9.6
700,700,1985,299,9.5
701,701,1985,302,9.2
702,702,1985,305,9.0
703,703,1985,308,8.9
704,704,1985,311,8.6
705,705,1985,314,8.4
706,706,1985,317,7.8
707,707,1985,320,7.7
708,708,1985,323,7.4
709,709,1985,326,6.7
710,710,1985,329,6.0
711,711,1985,332,5.4
712,712,1985,335,5.0
713,713,1985,338,5.0
714,714,1985,341,5.7
715,715,1985,344,5.6
716,716,1985,347,5.6
717,717,1985,350,5.6
718,718,1985,353,5.7
719,719,1985,356,5.8
720,720,1985,360,5.9
721,721,1986,2,6.1
722,722,1986,5,5.9
723,723,1986,8,6.1
724,724,1986,11,6.4
725,725,1986,14,6.4
726,726,1986,17,6.4
727,727,1986,20,6.5
728,728,1986,23,6.5
729,729,1986,26,6.3
730,730,1986,29,6.2
731,731,1986,32,6.4
732,732,1986,35,6.5
733,733,1986,38,6.4
734,734,1986,41,6.4
735,735,1986,44,6.2
736,736,1986,47,5.9
737,737,1986,50,5.6
738,738,1986,53,5.6
739,739,1986,56,5.9
740,740,1986,59,6.2
741,741,1986,62,6.5
742,742,1986,65,6.6
743,743,1986,68,6.8
744,744,1986,71,7.0
745,745,1986,74,7.1
746,746,1986,77,7.1
747,747,1986,80,7.3
748,748,1986,83,7.4
749,749,1986,86,7.4
750,750,1986,89,7.5
751,751,1986,92,7.6
752,752,1986,95,7.9
753,753,1986,98,8.3
754,754,1986,101,8.3
755,755,1986,104,8.4
756,756,1986,107,8.5
757,757,1986,110,8.5
758,758,1986,113,8.6
759,759,1986,116,8.5
760,760,1986,119,8.5
761,761,1986,122,8.8
762,762,1986,125,9.3
763,763,1986,128,9.7
764,764,1986,131,9.9
765,765,1986,134,9.7
766,766,1986,137,10.1
767,767,1986,140,10.2
768,768,1986,143,10.6
769,769,1986,146,10.5
770,770,1986,149,11.1
771,771,1986,152,11.8
772,772,1986,155,11.8
773,773,1986,158,12.4
774,774,1986,161,12.8
775,775,1986,164,13.1
776,776,1986,167,13.0
777,777,1986,170,12.7
778,778,1986,173,12.6
779,779,1986,176,12.9
780,780,1986,179,13.2
781,781,1986,182,13.5
782,782,1986,185,13.5
783,783,1986,188,13.9
784,784,1986,191,14.1
785,785,1986,194,13.8
786,786,1986,197,14.2
787,787,1986,200,14.0
788,788,1986,203,14.3
789,789,1986,206,14.2
790,790,1986,209,14.3
791,791,1986,212,14.5
792,792,1986,215,14.5
793,793,1986,218,14.1
794,794,1986,221,13.9
795,795,1986,224,14.2
796,796,1986,227,14.2
797,797,1986,230,13.6
798,798,1986,233,13.6
799,799,1986,236,13.7
800,800,1986,239,13.9
801,801,1986,242,13.8
802,802,1986,245,13.8
803,803,1986,248,13.8
804,804,1986,251,13.7
805,805,1986,254,13.3
806,806,1986,257,12.8
807,807,1986,260,12.5
808,808,1986,263,12.3
809,809,1986,266,12.1
810,810,1986,269,11.7
811,811,1986,272,11.6
812,812,1986,275,11.6
813,813,1986,278,11.4
814,814,1986,281,11.4
815,815,1986,284,11.2
816,816,1986,287,11.0
817,817,1986,290,10.9
818,818,1986,293,10.6
819,819,1986,296,10.5
820,820,1986,299,10.4
821,821,1986,302,10.3
822,822,1986,305,10.1
823,823,1986,308,9.9
824,824,1986,311,9.6
825,825,1986,314,9.0
826,826,1986,317,8.5
827,827,1986,320,8.4
828,828,1986,323,8.3
829,829,1986,326,8.3
830,830,1986,329,8.3
831,831,1986,332,8.1
832,832,1986,335,7.8
833,833,1986,338,7.4
834,834,1986,341,7.3
835,835,1986,344,7.0
836,836,1986,347,6.9
837,837,1986,350,7.0
838,838,1986,353,6.8
839,839,1986,356,6.9
840,840,1986,360,7.1
841,841,1987,2,7.0
842,842,1987,5,7.0
843,843,1987,8,6.6
844,844,1987,11,6.6
845,845,1987,14,6.6
846,846,1987,17,6.2
847,847,1987,20,6.1
848,848,1987,23,6.0
849,849,1987,26,6.2
850,850,1987,29,6.4
851,851,1987,32,6.6
852,852,1987,35,6.5
853,853,1987,38,6.5
854,854,1987,41,6.5
855,855,1987,44,6.7
856,856,1987,47,6.7
857,857,1987,50,6.7
858,858,1987,53,6.7
859,859,1987,56,6.6
860,860,1987,59,6.6
861,861,1987,62,6.6
862,862,1987,65,6.9
863,863,1987,68,7.0
864,864,1987,71,7.1
865,865,1987,74,7.3
866,866,1987,77,7.4
867,867,1987,80,7.5
868,868,1987,83,7.6
869,869,1987,86,7.6
870,870,1987,89,7.8
871,871,1987,92,8.2
872,872,1987,95,8.5
873,873,1987,98,8.5
874,874,1987,101,8.4
875,875,1987,104,8.4
876,876,1987,107,8.5
877,877,1987,110,8.7
878,878,1987,113,8.8
879,879,1987,116,9.3
880,880,1987,119,9.8
881,881,1987,122,9.9
882,882,1987,125,9.6
883,883,1987,128,10.5
884,884,1987,131,11.0
885,885,1987,134,10.9
886,886,1987,137,11.2
887,887,1987,140,10.9
888,888,1987,143,11.6
889,889,1987,146,12.0
890,890,1987,149,12.0
891,891,1987,152,11.2
892,892,1987,155,12.0
893,893,1987,158,12.5
894,894,1987,161,12.8
895,895,1987,164,12.1
896,896,1987,167,12.5
897,897,1987,170,13.0
898,898,1987,173,13.0
899,899,1987,176,13.4
900,900,1987,179,13.8
901,901,1987,182,14.2
902,902,1987,185,14.5
903,903,1987,188,14.4
904,904,1987,191,14.2
905,905,1987,194,14.5
906,906,1987,197,13.8
907,907,1987,200,13.9
908,908,1987,203,14.4
909,909,1987,206,14.6
910,910,1987,209,14.4
911,911,1987,212,14.7
912,912,1987,215,14.7
913,913,1987,218,14.4
914,914,1987,221,14.1
915,915,1987,224,14.2
916,916,1987,227,14.2
917,917,1987,230,14.4
918,918,1987,233,14.3
919,919,1987,236,13.9
920,920,1987,239,14.0
921,921,1987,242,14.0
922,922,1987,245,14.0
923,923,1987,248,13.5
924,924,1987,251,13.3
925,925,1987,254,13.4
926,926,1987,257,13.2
927,927,1987,260,12.8
928,928,1987,263,12.8
929,929,1987,266,12.8
930,930,1987,269,12.7
931,931,1987,272,12.5
932,932,1987,275,12.4
933,933,1987,278,12.2
934,934,1987,281,11.9
935,935,1987,284,11.6
936,936,1987,287,11.2
937,937,1987,290,11.0
938,938,1987,293,10.6
939,939,1987,296,10.5
940,940,1987,299,10.3
941,941,1987,302,10.1
942,942,1987,305,10.0
943,943,1987,308,9.9
944,944,1987,311,9.8
945,945,1987,314,9.7
946,946,1987,317,9.6
947,947,1987,320,9.3
948,948,1987,323,8.9
949,949,1987,326,8.8
950,950,1987,329,8.7
951,951,1987,332,8.5
952,952,1987,335,8.4
953,953,1987,338,8.4
954,954,1987,341,8.3
955,955,1987,344,8.2
956,956,1987,347,7.7
957,957,1987,350,7.3
958,958,1987,353,7.0
959,959,1987,356,6.9
960,960,1987,360,6.4
961,961,1988,2,6.1
962,962,1988,5,5.9
963,963,1988,8,6.0
964,964,1988,11,6.1
965,965,1988,14,6.5
966,966,1988,17,6.6
967,967,1988,20,6.5
968,968,1988,23,6.4
969,969,1988,26,6.2
970,970,1988,29,6.4
971,971,1988,32,6.1
972,972,1988,35,5.8
973,973,1988,38,5.8
974,974,1988,41,5.9
975,975,1988,44,6.1
976,976,1988,47,6.2
977,977,1988,50,6.3
978,978,1988,53,6.4
979,979,1988,56,6.4
980,980,1988,59,6.6
981,981,1988,62,6.8
982,982,1988,65,6.9
983,983,1988,68,6.9
984,984,1988,71,6.9
985,985,1988,74,7.0
986,986,1988,77,7.2
987,987,1988,80,7.4
988,988,1988,83,7.5
989,989,1988,86,7.4
990,990,1988,89,7.3
991,991,1988,92,7.5
992,992,1988,95,7.6
993,993,1988,98,7.6
994,994,1988,101,7.9
995,995,1988,104,8.3
996,996,1988,107,8.7
997,997,1988,110,8.9
998,998,1988,113,9.4
999,999,1988,116,9.6
1000,1000,1988,119,9.9
1001,1001,1988,122,9.6
1002,1002,1988,125,9.3
1003,1003,1988,128,9.9
1004,1004,1988,131,10.5
1005,1005,1988,134,10.7
1006,1006,1988,137,10.7
1007,1007,1988,140,10.4
1008,1008,1988,143,11.0
1009,1009,1988,146,11.4
1010,1010,1988,149,11.4
1011,1011,1988,152,11.5
1012,1012,1988,155,11.1
1013,1013,1988,158,11.4
1014,1014,1988,161,12.1
1015,1015,1988,164,12.4
1016,1016,1988,167,12.9
1017,1017,1988,170,13.0
1018,1018,1988,173,13.2
1019,1019,1988,176,13.4
1020,1020,1988,179,13.8
1021,1021,1988,182,13.7
1022,1022,1988,185,13.4
1023,1023,1988,188,13.6
1024,1024,1988,191,14.0
1025,1025,1988,194,14.1
1026,1026,1988,197,13.7
1027,1027,1988,200,14.2
1028,1028,1988,203,14.6
1029,1029,1988,206,14.7
1030,1030,1988,209,14.6
1031,1031,1988,212,14.4
1032,1032,1988,215,14.1
1033,1033,1988,218,14.3
1034,1034,1988,221,14.1
1035,1035,1988,224,14.0
1036,1036,1988,227,14.1
1037,1037,1988,230,13.9
1038,1038,1988,233,14.0
1039,1039,1988,236,13.9
1040,1040,1988,239,13.9
1041,1041,1988,242,14.0
1042,1042,1988,245,13.9
1043,1043,1988,248,13.9
1044,1044,1988,251,13.8
1045,1045,1988,254,13.3
1046,1046,1988,257,12.8
1047,1047,1988,260,12.8
1048,1048,1988,263,12.3
1049,1049,1988,266,12.2
1050,1050,1988,269,11.9
1051,1051,1988,272,11.6
1052,1052,1988,275,11.6
1053,1053,1988,278,11.7
1054,1054,1988,281,11.8
1055,1055,1988,284,11.5
1056,1056,1988,287,11.3
1057,1057,1988,290,11.0
1058,1058,1988,293,10.7
1059,1059,1988,296,10.5
1060,1060,1988,299,10.3
1061,1061,1988,302,9.9
