year,biweekly,avg_obs,avg_model
2009,13,7.833333333333333,16.91527630698578
2009,17,8.0,16.746387501619026
2009,19,12.720238095238097,16.879148819624373
2009,24,26.079999999999995,19.193690811522146
2009,25,25.70740740740741,19.491705859859863
2010,3,27.5,19.692751478573943
2010,7,24.0875,18.614848870428148
2010,8,9.685087719298245,18.53233694720283
2010,9,5.925,17.53513054350988
2010,11,16.549999999999997,16.562762970437014
2010,12,11.05,16.38252892633326
2010,13,7.966666666666667,16.252708772653385
2010,15,9.8,16.31113458488584
2010,16,10.5,17.069020430086944
2010,17,4.8500000000000005,17.2740244120165
2010,20,15.661904761904761,15.987120554705111
2010,22,15.390277777777778,19.013168970810163
2010,24,27.583333333333332,19.718058224561037
2010,25,27.130555555555556,19.4173760649243
2011,3,26.700000000000003,20.358565079482844
2011,7,20.095833333333335,20.48048790938751
2011,8,13.505128205128205,19.681205954537766
2011,10,11.6,23.07692307692308
2011,11,9.566666666666666,16.934203063481988
2011,13,7.858333333333333,16.531283953983248
2011,16,5.663636363636363,18.225512452855387
2011,17,14.15,16.565275816820648
2011,18,10.825,16.62132743280136
2011,19,12.18397435897436,16.56639265982881
2011,24,25.54198717948718,19.722218406822265
2012,3,26.6,19.58590865832884
2012,4,26.635185185185186,21.033962597976572
2012,5,27.297916666666666,20.45999578027811
2012,7,14.945833333333335,20.13117486689658
2012,8,15.669999999999998,19.24900144272258
2012,12,7.917261904761905,16.375025067289773
2012,14,6.084713541666667,18.522918032825114
2012,15,4.0,16.479288258817263
2012,19,12.186666666666666,16.102869495351584
2012,20,15.475,15.891665666933108
2012,21,19.25,17.986488219371658
2013,7,5.704761904761905,21.042640130914148
2013,8,13.154166666666667,19.03066298722232
2013,13,12.032738095238097,17.112728449646458
2013,14,20.16875,20.360146154397338
2013,20,19.386904761904763,16.754791637569898
2014,3,29.9,20.414378303137983
2014,7,21.70614035087719,18.75300590389704
2014,8,17.81764705882353,19.399147538085106
2014,12,7.126282051282051,16.601962912933978
2014,13,7.9561111111111105,17.788134596115487
2014,17,19.376666666666665,15.210656496028117
2014,18,8.874358974358975,17.249295971771073
2014,19,10.200000000000001,16.975871613346396
2014,22,22.666785714285716,17.65353933509522
2015,2,22.3075,20.92541441300378
2015,3,26.72,20.66005171429417
2015,4,23.35921052631579,20.215305646888673
2015,5,13.0,18.446244807400664
2015,6,14.941136363636362,19.197905543852695
2015,7,15.77665238095238,18.558547483488766
2015,8,13.22016304347826,18.21433629306913
2015,9,12.87,16.32246111370673
2015,10,9.056666666666667,16.858509825694608
2015,11,9.257037037037037,17.213292257455553
2015,12,10.380719696969697,17.365597832488216
2015,13,8.403912037037038,17.394741444928282
2015,14,9.862115384615386,17.818256587159446
2015,15,12.238333333333335,18.85168520034411
2015,16,11.706304347826087,18.36669665509127
2015,17,10.44872807017544,17.918683322916785
2015,19,12.112623456790125,17.352866470925733
2015,20,15.466881313131314,16.409115170225448
2015,21,16.926666666666666,16.231089220209697
2016,2,18.92333333333333,20.02559093172136
2016,3,25.39333333333333,20.88162943845913
2016,4,25.092142857142857,20.46716467168032
2016,5,18.123541666666664,19.918299457392298
2016,6,19.155094696969698,19.743719667073453
2016,7,11.341000000000001,19.05571301555028
2016,8,8.305169270833334,17.829399453037894
2016,9,6.814813797313797,17.43922234417359
2016,10,6.757069892473118,16.951981446705272
2016,11,5.59953431372549,16.862448979408118
2016,12,8.15139492753623,16.88216994860624
2016,13,7.731996233521658,17.386539823115708
2016,14,8.051710526315789,17.802484498863684
2016,15,10.0475,17.81859706635611
2016,16,9.957404761904762,17.843440859054496
2016,17,9.228055555555555,17.5126816132027
2016,18,10.42359375,17.635956858238142
2016,19,10.055654761904762,17.02596791593774
2016,20,14.57554347826087,16.734445272477792
2016,21,14.15297619047619,17.04867888471272
2016,22,24.322916666666668,17.92879297380538
2016,23,24.244374999999998,18.26440086516951
2017,4,26.711805555555557,20.837002626079556
2017,5,15.342591145833333,20.4807575681793
2017,6,12.648583333333333,20.247177112974686
2017,7,10.610000000000001,19.875253355494102
2017,8,10.295438273316574,19.269013247386198
2017,9,5.267952380952381,18.491468203200647
2017,10,4.605919540229885,17.95079538240787
2017,11,5.313161764705883,17.026862751749345
2017,12,5.238782407407408,17.184184382914264
2017,13,7.840392541074401,17.23957116507411
2017,14,4.9571250000000004,17.504919666597125
2017,15,5.30725,17.8723561883301
2017,16,5.235309523809524,17.80209517838666
2017,17,6.475878787878788,17.75566805589674
2017,18,6.652333333333334,17.779458872543945
2017,19,15.316111111111113,17.354104147587247
2017,20,11.38060606060606,16.666773559127776
2017,21,11.48378205128205,17.34360204576663
