Index,Region,Station,Latitude.W.,Longitude.N.,Tow_start_depth.m.,Tow_end_depth.m.,Bottom_depth.m.,Year,Month,Day,Time,Twilight,Season,ZC1-EUP,ZC2-AMP,ZC3-DEC,ZC4-CLG,ZC5-CSM,ZS2-CTH,ZS3-CHA,ZS4-LAR,misc,ZF1-ICT,ZS1-JEL,date,EWE-ZF1-ICT,EWE-ZC1-EUP,EWE-ZC2-AMP,EWE-ZC3-DEC,EWE-ZC4-CLG,EWE-ZC5-CSM,EWE-ZS1-JEL,EWE-ZS2-CTH,EWE-ZS3-CHA,EWE-ZS4-LAR
PBS1997061000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,8,6,12:00,Daylight,Summer,7.59313952025646,1.28490535998109,2.34568368018429,4.81111199688053,1.93356340059519,0.0040582799985499,0.0928765600963087,,0.028558400109312,,,1997-08-06,0.02366002,0.5593087,0.4540704,0.09233567,0.6748845,0.5541296,0.001739635,0.03424268,0.2330988,1.229972
PBS1997062000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,9,3,12:00,Daylight,Fall,1.36318427992739,1.21112596003212,0.567401759987499,1.41114879826314,1.80989811199495,0.0020289600012819,0.313294800204879,,0.0999167977622768,,,1997-09-03,0.02499188,0.5737043,0.4853792,0.0940365,0.6575469,0.520283,0.002046935,0.03393238,0.2461675,0.9310116
PBS1997062000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,9,3,12:00,Night,Fall,0.139670879999107,1.64515247985065,0.391177440028097,7.95990720309348,0.546488760573163,0.0020289600012819,0.0862554399946785,,,,,1997-09-03,0.02499188,0.5737043,0.4853792,0.0940365,0.6575469,0.520283,0.002046935,0.03393238,0.2461675,0.9310116
IOS1997037008701A,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,10,28,12:00,Daylight,Fall,0.393623720011589,1.18663143994127,0.266402879986154,4.62218239785364,0.612804799628875,0.02326571998951,0.380127680016427,0.0024768000011988,,,,1997-10-28,0.02725118,0.6153646,0.5195489,0.09640606,0.6933264,0.486936,0.002548785,0.03249284,0.2590017,0.9548762
IOS1997037008701B,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,10,28,12:00,Night,Fall,3.23476787980954,4.29178871988686,1.05721632003263,14.4002000091093,3.72613226443303,0.0547703999870065,1.02884391991514,0.0256799998965744,0.0187743981500256,,,1997-10-28,0.02725118,0.6153646,0.5195489,0.09640606,0.6933264,0.486936,0.002548785,0.03249284,0.2590017,0.9548762
PBS1997065000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,12,18,12:00,Daylight,Winter,0.222361599954814,1.13287455991552,0.197238239992636,6.54093120207157,1.39115783152343,0.0142934400037598,0.547046480107478,,0.003816000967584,,,1997-12-18,0.02465415,0.4309533,0.4250471,0.06811038,0.390157,0.2067125,0.002276214,0.01689781,0.2109872,0.2292099
PBS1997065000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1997,12,18,12:00,Night,Winter,0.239288120008332,1.28121595999959,0.0530913600057269,4.16959200144337,1.2813255639163,0.0353577599917398,0.272707760316987,,,,,1997-12-18,0.02465415,0.4309533,0.4250471,0.06811038,0.390157,0.2067125,0.002276214,0.01689781,0.2109872,0.2292099
PBS1998051000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,1,20,12:00,Daylight,Winter,0.0921816800012642,1.11481628002667,0.179647200015276,3.50203679942493,1.66365575913149,0.0040582799985499,0.105532080138475,,0.0037295998155232,0.0002200800004216,,1998-01-20,0.02187931,0.324733,0.3463045,0.0533742,0.2557552,0.1147045,0.00186637,0.009605728,0.1743672,0.1504472
PBS1998052000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,2,3,12:00,Night,Winter,1.1229501600632,1.61923036010464,0.0204983999986867,3.20480159743969,1.29808987856069,0.0182700000035849,0.157488720246266,,0.0105088000001184,0.0003410400017236,,1998-02-03,0.02030166,0.2766544,0.305888,0.04690906,0.2025786,0.08543567,0.0016279,0.006879364,0.1561007,0.1224142
PBS1998052000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,2,3,12:00,Daylight,Winter,1.47491892005057,0.937721639998481,0.38161584000814,2.24395839910523,1.02499572000145,0.0267929999948959,0.168262479976036,,0.0079119986672608,0.0031886400038001,,1998-02-03,0.02030166,0.2766544,0.305888,0.04690906,0.2025786,0.08543567,0.0016279,0.006879364,0.1561007,0.1224142
IOS1998001002901,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,2,26,12:00,Night,Winter,1.55996947993177,0.113088279993464,0.0072230400007531,0.97012159912315,1.35617920165139,0.0053179200013755,0.210323920493372,0.0156839998853508,0.006639999770976,0.0197013599947164,,1998-02-26,0.0183175,0.2307488,0.2615438,0.04195328,0.1630765,0.07197782,0.001331316,0.004633063,0.1365485,0.2670882
IOS1998001002301,Northern Strait of Georgia,CPF2,49.467,-124.5,250,0,335,1998,2,26,14:55,Daylight,Winter,0.245347249988777,0.953836750044056,,0.40758000003879,1.7040501533595,0.0022608000017226,0.816356849098664,0.0315779994412042,0.067440003318184,0.109984350157334,,1998-02-26,0.0183175,0.2307488,0.2615438,0.04195328,0.1630765,0.07197782,0.001331316,0.004633063,0.1365485,0.2670882
IOS1998001002601,Central Strait of Georgia,CPF1,49.351,-124.109,253,0,400,1998,2,26,17:17,Daylight,Winter,,0.345748762675479,0.0753368220124051,0.222696671735297,0.445305275639869,0.0046355166,0.373926916595607,0.0130479688033165,0.0112372476934925,0.140131437548783,,1998-02-26,0.0183175,0.2307488,0.2615438,0.04195328,0.1630765,0.07197782,0.001331316,0.004633063,0.1365485,0.2670882
IOS1998001002801,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,2,26,12:00,Daylight,Winter,0.344101479998638,0.862184400067037,0.0048153599987097,1.03038240002405,0.883530239906445,0.0117986399970829,0.295337519781536,0.0189839999295012,0.0101983997856112,0.0192410400175157,,1998-02-26,0.0183175,0.2307488,0.2615438,0.04195328,0.1630765,0.07197782,0.001331316,0.004633063,0.1365485,0.2670882
PBS1998054000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,3,17,12:00,Daylight,Spring,0.0193224814152659,1.01606420014976,0.33252911966987,0.682451203804098,0.269043440137078,0.0055504800004726,0.125548960033024,,0.02548799906568,0.0019454400001461,,1998-03-17,0.01675746,0.2101227,0.2349518,0.04120312,0.1590101,0.08926667,0.001101826,0.003811736,0.1254361,0.5808254
PBS1998055000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,3,25,12:00,Night,Spring,0.0766122412933041,0.837098200031789,0.566249761019868,2.3752688010212,3.56285531298336,0.0065358000046926,0.697450478395869,,0.0421248017958336,0.10159464024992,,1998-03-25,0.01644686,0.2127008,0.2318768,0.04235263,0.1717818,0.1072516,0.00105257,0.003897464,0.1244834,0.7245721
PBS1998055000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,3,25,12:00,Daylight,Spring,0.43261612009316,0.947952199951414,0.580314238587544,0.481844800498971,1.3930857561506,0.0060570000014511,0.992724158507342,,0.0107344019210464,0.0631948801367167,,1998-03-25,0.01644686,0.2127008,0.2318768,0.04235263,0.1717818,0.1072516,0.00105257,0.003897464,0.1244834,0.7245721
IOS1998008001101,Northern Strait of Georgia,CPF2,49.467,-124.5,310,0,320,1998,3,31,7:22,Daylight,Spring,0.012875445937791,1.36607439598607,0.0871506719763765,1.30783419916971,0.892145130664739,0.057766949992356,1.10069963955318,0.390706949222582,0.0016058003731432,1.98227807408071,,1998-03-31,0.01618787,0.2168542,0.2306283,0.04352935,0.1858069,0.128885,0.001010182,0.004124073,0.1243739,0.7574559
IOS1998008001201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,3,31,12:00,Daylight,Spring,0.0511373212256772,1.2290982402241,0.184150080344904,0.424638400789979,0.945635478259619,0.0010144799994042,1.0161458367902,0.0027516000887388,0.0028368005120576,0.0371145598954452,,1998-03-31,0.01618787,0.2168542,0.2306283,0.04352935,0.1858069,0.128885,0.001010182,0.004124073,0.1243739,0.7574559
PBS1998057000201,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,4,22,12:00,Daylight,Spring,0.948574840189131,0.30563196003396,0.334844639971258,2.22698719594641,1.28653280116578,0.009781200010562,1.12509640152278,,7.36000569824e-05,0.0907015199974951,,1998-04-22,0.01588681,0.282011,0.2414409,0.05455684,0.3432465,0.2983471,0.0009042413,0.007022494,0.1316485,1.398945
PBS1998057000101,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,4,22,12:00,Daylight,Spring,0.823923000719094,0.409542319993027,0.157494239960345,6.4123119961657,0.899385122798889,0.0066556800105274,0.619325520692579,,0.0005503999848464,0.258580560001574,,1998-04-22,0.01588681,0.282011,0.2414409,0.05455684,0.3432465,0.2983471,0.0009042413,0.007022494,0.1316485,1.398945
IOS1998014003701,Central Strait of Georgia,CPF1,49.367,-124.083,233,0,245,1998,6,4,13:40,Daylight,Summer,0.988847246724121,1.78374669161452,0.420489601175879,1.485984526785,0.817701731522198,0.0365005916957204,0.308472474720197,0.0030986671282944,0.0004026239464696,,,1998-06-04,0.01939229,0.5478857,0.366228,0.09099822,0.8058407,0.7300829,0.001177183,0.03133855,0.1938554,1.800229
IOS1998014005801,Northern Strait of Georgia,CPF2,49.466,-124.499,249,0,325,1998,6,4,23:32,Night,Summer,7.05302425093095,3.8071254648426,0.166675719580939,2.56206657503396,1.49520481496547,0.123278754591144,0.736511671539625,,0.0785355953681655,0.198937305002535,,1998-06-04,0.01939229,0.5478857,0.366228,0.09099822,0.8058407,0.7300829,0.001177183,0.03133855,0.1938554,1.800229
IOS1998014006001,Central Strait of Georgia,GEO1,49.25,-123.75,400,0,400,1998,6,4,12:00,Daylight,Summer,1.46759172040671,3.38433735985239,0.27986255998165,2.47440000064369,0.942758684078365,0.0170431200040849,0.403485518844707,0.0064199999741436,0.0003184000178944,0.0063201600003124,0.0278964000015792,1998-06-04,0.01939229,0.5478857,0.366228,0.09099822,0.8058407,0.7300829,0.001177183,0.03133855,0.1938554,1.800229
PBS1998017000401,Central Strait of Georgia,CPF1,49.367,-124.086,250,0,250,1998,7,15,21:02,Daylight,Summer,22.8443487744943,4.89631110003712,0.189453599988496,2.11709300003991,0.812574197901714,0.0832808249981699,0.759104149769561,0.0078585002062935,0.022317999322604,,,1998-07-15,0.02380821,0.6271821,0.4876507,0.1021376,0.7807612,0.6480147,0.001863965,0.04071464,0.2471841,1.17292
IOS1998036013001,Central Strait of Georgia,CPF1,49.352,-124.112,250,0,413,1998,10,14,13:36,Daylight,Fall,5.08034572471557,1.36600035005961,0.0817775999953812,1.03964299966635,1.59516964110588,0.0355515750000533,0.608542450703666,0.00876150000768,0.020446995195888,,,1998-10-14,0.02708403,0.6215383,0.5314601,0.09965032,0.6968657,0.5238096,0.002648164,0.03352425,0.26479,1.12703
IOS1998036014601,Northern Strait of Georgia,CPF2,49.467,-124.5,250,0,325,1998,10,16,11:53,Daylight,Fall,5.57495644982344,1.74565487501482,,7.26347600080631,1.42482293152673,0.0177189749947865,0.814321000068168,0.0025620000032025,0.014447002695921,,,1998-10-16,0.02720093,0.6267363,0.5323511,0.1001722,0.707612,0.5284053,0.002667197,0.03355281,0.2652158,1.198354
IOS1999009009301,Central Strait of Georgia,CPF1,49.344,-124.114,250,0,425,1999,4,23,9:11,Daylight,Spring,0.158014248089057,0.703438074971376,0.058061700404982,5.94035799397598,2.50316616748559,0.0140078249970293,0.629803450684172,1.16793750998447,0.0354030004849,,,1999-04-23,0.01495831,0.2030948,0.2131575,0.04347115,0.18565,0.1625655,0.0008608027,0.003494526,0.1180971,1.032732
IOS1999009008601,Northern Strait of Georgia,CPF2,49.464,-124.503,250,0,335,1999,4,23,4:34,Night,Spring,0.0770431019234867,0.201190550012885,0.0186326999240472,5.69113299734065,1.98588664959038,0.0159347249915531,1.48587980156663,1.4107394998749,0.017573997548384,,,1999-04-23,0.01495831,0.2030948,0.2131575,0.04347115,0.18565,0.1625655,0.0008608027,0.003494526,0.1180971,1.032732
IOS1999016004901,Central Strait of Georgia,CPF1,49.352,-124.123,250,0,415,1999,6,26,3:57,Daylight,Summer,0.983268099339571,1.80654609989338,0.315739799989217,4.39738200083307,1.94224818018034,0.315809100036855,1.20982785222114,0.0672652517058855,0.005312999775074,0.0099225000006048,0.052462199998579,1999-06-26,0.01886373,0.502993,0.3655417,0.08590419,0.6987209,0.6404018,0.001128313,0.03017655,0.1942959,1.179802
IOS1999016004801,Central Strait of Georgia,CPF1,49.351,-124.121,250,0,410,1999,6,26,3:39,Daylight,Summer,1.34125062712778,5.1573447498264,0.288105299905806,8.68802099471082,2.87079699585746,0.395633699973001,2.06006360035694,0.111628499999963,0.00317800009742,0.0024800999995674,0.106106525006164,1999-06-26,0.01886373,0.502993,0.3655417,0.08590419,0.6987209,0.6404018,0.001128313,0.03017655,0.1942959,1.179802
IOS1999016005601,Northern Strait of Georgia,CPF2,49.461,-124.51,250,0,328,1999,6,26,9:36,Daylight,Summer,0.201219573983497,3.55658697509434,0.292291199524058,5.32096399772472,5.4022185858326,0.310970025024264,5.45773762657421,0.366898497812528,0.028854999204976,,0.070932399998775,1999-06-26,0.01886373,0.502993,0.3655417,0.08590419,0.6987209,0.6404018,0.001128313,0.03017655,0.1942959,1.179802
IOS1999020005401,Central Strait of Georgia,CPF1,49.349,-124.12,249,0,414,1999,8,14,9:58,Daylight,Summer,2.23259151894972,2.08793459557683,0.0066450131949801,2.10059885826033,1.8309646993155,0.384442429509943,0.82246447928039,,0.0288043153999999,,,1999-08-14,0.02358195,0.6217422,0.4847254,0.1024633,0.7797316,0.6231222,0.001862742,0.03871118,0.2467309,1.409104
IOS1999020006001,Northern Strait of Georgia,CPF2,49.469,-124.502,246,0,330,1999,8,14,14:02,Daylight,Summer,1.02723592680633,1.33886803796669,0.0442020672098293,0.628845863518582,0.954398648579676,0.0721077660081303,0.252999881073128,,0.0131196795476461,,,1999-08-14,0.02358195,0.6217422,0.4847254,0.1024633,0.7797316,0.6231222,0.001862742,0.03871118,0.2467309,1.409104
IOS2000011003001,Northern Strait of Georgia,CPF2,49.465,-124.511,250,0,353,2000,5,22,22:20,Daylight,Spring,2.7765218166615,1.26191240005804,0.268445699957055,3.65570599557797,1.63823609248502,0.0906844499970336,1.72639794937635,0.111147750203451,0.001778001235011,0.018061049994708,,2000-05-22,0.01719854,0.3886667,0.2959458,0.0703181,0.5289052,0.5131382,0.0009976062,0.01674507,0.1602076,1.432748
IOS2000011006901,Central Strait of Georgia,CPF1,49.344,-124.104,250,0,409,2000,5,25,18:18,Daylight,Spring,1.30409325451286,3.57340104984906,0.460548899195629,6.93172799030351,2.02478870645337,0.120260700010061,2.30782170006742,0.0734039979980108,0.003416000457188,4.40852685016285,,2000-05-25,0.01747095,0.4125324,0.3047567,0.07365841,0.5757867,0.5523574,0.001017316,0.0186284,0.1647285,1.586779
IOS2000005002701,Northern Strait of Georgia,CPF2,49.467,-124.5,240,0,325,2000,8,15,0:58,Night,Summer,1.40018148000861,2.02595944810979,0.150736895993105,4.39051776321618,1.39502968377176,0.0101621519978806,0.423256463699087,0.0199648795996087,0.011119680395567,,,2000-08-15,0.02577833,0.6536209,0.5248865,0.105265,0.783408,0.6037129,0.002251705,0.03946977,0.2633474,1.415362
IOS2000029001601,Central Strait of Georgia,CPF1,49.368,-124.078,227,0,240,2000,8,18,23:03,Night,Summer,2.42426245828897,1.19548921194612,0.187006413593103,0.216898500336619,0.916578077983409,0.0225030320964452,0.916000115997013,0.0075291360152326,0.005679538950806,,,2000-08-18,0.02598352,0.6545276,0.529227,0.1054286,0.7772493,0.6027532,0.002295866,0.03953729,0.2653041,1.344744
IOS2001012000401,Northern Strait of Georgia,CPF2,49.465,-124.5,250,0,325,2001,3,25,12:50,Daylight,Spring,0.228572948299814,0.100224400004324,0.0676674000716994,0.209344001570697,0.499967250399953,0.0134379000004189,0.602468149923253,0.080546999872053,0.042397001581944,0.0720541499885309,,2001-03-25,0.01723471,0.2133157,0.2440012,0.04303806,0.1551841,0.1230376,0.001175918,0.004208311,0.1308948,0.6892332
IOS2001012001401,Central Strait of Georgia,CPF1,49.368,-124.083,240,0,255,2001,3,26,17:54,Daylight,Spring,0.378065977395305,1.31917980010083,0.246212351989923,7.20247104675095,2.69037268983276,0.0879515280125349,4.82673537594826,0.0118850400167436,0.107326074849768,0.101116511893047,,2001-03-26,0.01708055,0.2142665,0.2427123,0.04346935,0.1601588,0.1328019,0.001150508,0.004284807,0.1305329,0.7192649
IOS2001027003001,Northern Strait of Georgia,MALASPIN,49.694,-124.242,253,0,290,2001,8,8,16:16,Daylight,Summer,4.38242673458527,1.13533896734955,0.168731164809624,0.356599452141937,0.609105267611692,0.0113071266023585,0.42890938200956,0.0022997699971036,0.0088762525259262,,,2001-08-08,0.02555103,0.6534406,0.5182164,0.1044728,0.7974327,0.6073545,0.002189456,0.03962389,0.260715,1.402136
IOS2001027002601,Northern Strait of Georgia,MUDGE,49.898,-125.049,188,0,199,2001,8,8,12:45,Daylight,Summer,,2.89244549922845,0.190354060802211,2.00849950275722,0.776115634168383,0.0531504575950128,0.830682173604125,0.0349961999531587,,,,2001-08-08,0.02555103,0.6534406,0.5182164,0.1044728,0.7974327,0.6073545,0.002189456,0.03962389,0.260715,1.402136
IOS2001027005201,Central Strait of Georgia,HALIBUT,49.324,-123.669,201,0,215,2001,8,9,18:40,Daylight,Summer,0.309550773576833,1.1957391710268,0.228007807198585,0.16089004804122,1.31522291822542,0.0640903374010847,0.310683288371237,0.005803271967447,0.0026081761936048,0.0232129674030729,,2001-08-09,0.02555103,0.6534406,0.5182164,0.1044728,0.7974327,0.6073545,0.002189456,0.03962389,0.260715,1.402136
IOS2001027004701,Central Strait of Georgia,GEO1,49.245,-123.741,251,0,404,2001,8,9,12:05,Daylight,Summer,0.692322381464114,1.21624158401452,0.206400311997791,0.398838999996628,1.20469415004874,0.0413842023011826,1.66400424881321,0.0161315190129674,0.0076775879515931,,,2001-08-09,0.02555103,0.6534406,0.5182164,0.1044728,0.7974327,0.6073545,0.002189456,0.03962389,0.260715,1.402136
IOS2001027004401,Central Strait of Georgia,CPF1,49.366,-124.085,233,0,246,2001,8,9,9:48,Daylight,Summer,1.39803723339875,1.08474610901653,0.121637743208533,0.245082448301961,0.810487285251019,0.0338143346972248,0.603788790484256,0.0011806110010205,0.0034642438018782,,,2001-08-09,0.02555103,0.6534406,0.5182164,0.1044728,0.7974327,0.6073545,0.002189456,0.03962389,0.260715,1.402136
IOS2001027003901,Northern Strait of Georgia,CPF2,49.464,-124.502,257,0,332,2001,8,9,7:03,Daylight,Summer,0.880965828268964,2.96532367080309,0.305699957994076,6.81020702141805,1.00741083184845,0.0283534478923345,1.37791521456409,0.0115889009521517,0.0167039719011331,,,2001-08-09,0.02555103,0.6534406,0.5182164,0.1044728,0.7974327,0.6073545,0.002189456,0.03962389,0.260715,1.402136
IOS2002006001301,Northern Strait of Georgia,MALASPIN,49.66,-124.256,250,0,345,2002,2,17,17:00,Daylight,Winter,0.251219974994113,0.1843560500025,0.29054520002729,0.254304000111426,0.14219352477115,0.0156599999972622,0.174404799984757,,0.006081000173539,,,2002-02-17,0.02010221,0.2455014,0.2834263,0.04261791,0.1592262,0.06503293,0.001602129,0.004816733,0.1463966,0.2236356
IOS2002006001801,Northern Strait of Georgia,QUALICUM,49.429,-124.388,250,0,350,2002,2,18,16:11,Daylight,Winter,2.30604377504443,1.13059040005539,0.137461500033314,2.31283899922341,1.16293262625202,0.0106442999991058,0.570877800151087,0.0030727500021045,,,,2002-02-18,0.01979435,0.2388256,0.2772083,0.04198497,0.1535113,0.064224,0.001554835,0.004570432,0.1437304,0.2507398
IOS2002006001501,Northern Strait of Georgia,SABINE,49.603,-124.449,250,0,346,2002,2,18,11:47,Daylight,Winter,6.03633032532524,0.513656499980327,0.0546893999954208,0.768141000354644,0.521166250798692,0.0327082499978821,0.354107749920194,0.0028072500030022,0.000421000056048,,,2002-02-18,0.01979435,0.2388256,0.2772083,0.04198497,0.1535113,0.064224,0.001554835,0.004570432,0.1437304,0.2507398
IOS2002006002301,Central Strait of Georgia,HALIBUT,49.373,-123.846,250,0,292,2002,2,19,16:30,Daylight,Winter,0.206436549970762,0.757303100012369,0.377828100001076,1.58483099934146,1.58651025479237,0.0162744749966275,0.396401750082405,0.0068692500133537,0.010597999536914,0.089813849994414,,2002-02-19,0.01979435,0.2388256,0.2772083,0.04198497,0.1535113,0.064224,0.001554835,0.004570432,0.1437304,0.2507398
IOS2002006004301,Northern Strait of Georgia,CPF2,49.467,-124.503,250,0,320,2002,2,21,21:21,Night,Winter,1.11138337494124,0.485504399973155,0.0546831000005112,0.4810110001308,0.453398326011663,0.0368561250060046,0.525064050149322,0.0032377500036585,0.00360300108715,,,2002-02-21,0.01949282,0.2324177,0.2713226,0.04133305,0.1479771,0.06347372,0.001509026,0.004348611,0.1412151,0.2627577
IOS2002006003801,Northern Strait of Georgia,OYSTER B,49.875,-124.975,250,0,303,2002,2,21,12:15,Daylight,Winter,0.772281075065566,0.415725074995186,0.0637695001311192,0.511726000082494,0.212127025720143,0.020464650001449,0.158975850045227,0.0038940000065587,0.01095900082487,,,2002-02-21,0.01949282,0.2324177,0.2713226,0.04133305,0.1479771,0.06347372,0.001509026,0.004348611,0.1412151,0.2627577
IOS2002006004101,Northern Strait of Georgia,LAZO,49.757,-124.788,250,0,303,2002,2,21,18:50,Daylight,Winter,3.30378674965928,0.723316974976669,0.511788599955101,0.853332000342525,0.83456925174511,0.0266973749981791,0.313592149986502,0.0022830000048855,0.001979000264507,,,2002-02-21,0.01949282,0.2324177,0.2713226,0.04133305,0.1479771,0.06347372,0.001509026,0.004348611,0.1412151,0.2627577
IOS2002006006801,Central Strait of Georgia,SSOG,49.029,-123.423,250,0,312,2002,2,24,15:47,Daylight,Winter,0.062154349955939,0.109559699994619,0.0503028000258525,0.478478000306719,0.299467050256567,0.0168477750004406,0.195240199837971,,0.00117200001071,0.0092662500031878,,2002-02-24,0.01919734,0.2262857,0.265672,0.04068239,0.1427421,0.06277724,0.001464416,0.004142157,0.1387966,0.2659815
IOS2002013000301,Central Strait of Georgia,CPF1,49.358,-124.085,250,0,400,2002,3,22,12:57,Daylight,Spring,0.306398649951539,0.489052974995171,0.19320389990136,0.776350002161618,0.42539375015794,0.0383480999960722,0.252830150177434,0.000786749961075,0.005432999784744,0.123398100011654,,2002-03-22,0.01718376,0.1949231,0.2329568,0.03898465,0.124332,0.08004025,0.001164273,0.003230937,0.1252981,0.5428889
UVI2003031003501,Central Strait of Georgia,GEO1,49.25,-123.748,390,0,400,2003,4,9,11:00,Daylight,Spring,0.0557619266783967,0.892197539987575,0.0975737880242429,0.397416240370931,0.75664917921633,0.0102846510010235,0.243359219904639,0.0079910999977524,0.0139994398887408,0.0461326319820852,,2003-04-09,0.01811441,0.2524331,0.2645425,0.0476745,0.2152546,0.1806885,0.001246096,0.00615005,0.1402602,0.5754337
