region,Block3Day,Diatoms,Nemcek-NAN,N
Southern Gulf Islands,2017-081,3.99,3.06,1
Southern Gulf Islands,2017-082,,,
Southern Gulf Islands,2017-083,,,
Southern Gulf Islands,2017-084,,,
Southern Gulf Islands,2017-085,,,
Southern Gulf Islands,2017-086,,,
Southern Gulf Islands,2017-087,,,
Southern Gulf Islands,2017-088,,,
Southern Gulf Islands,2017-089,,,
Southern Gulf Islands,2017-090,,,
Southern Gulf Islands,2017-091,,,
Southern Gulf Islands,2017-092,,,
Southern Gulf Islands,2017-093,1.277,1.04,3
Southern Gulf Islands,2017-094,,,
Southern Gulf Islands,2017-095,,,
Southern Gulf Islands,2017-096,,,
Southern Gulf Islands,2017-097,,,
Southern Gulf Islands,2017-098,,,
Southern Gulf Islands,2017-099,,,
Southern Gulf Islands,2017-100,,,
Southern Gulf Islands,2017-101,,,
Southern Gulf Islands,2017-102,,,
Southern Gulf Islands,2017-103,,,
Southern Gulf Islands,2017-104,,,
Southern Gulf Islands,2017-105,,,
Southern Gulf Islands,2017-106,,,
Southern Gulf Islands,2017-107,,,
Southern Gulf Islands,2017-108,,,
Southern Gulf Islands,2017-109,,,
Southern Gulf Islands,2017-110,,,
Southern Gulf Islands,2017-111,,,
Southern Gulf Islands,2017-112,,,
Southern Gulf Islands,2017-113,,,
Southern Gulf Islands,2017-114,,,
Southern Gulf Islands,2017-115,,,
Southern Gulf Islands,2017-116,,,
Southern Gulf Islands,2017-117,,,
Southern Gulf Islands,2017-118,,,
Southern Gulf Islands,2017-119,,,
Southern Gulf Islands,2017-120,,,
Southern Gulf Islands,2017-121,,,
Southern Gulf Islands,2017-122,,,
Southern Gulf Islands,2018-001,,,
Southern Gulf Islands,2018-002,,,
Southern Gulf Islands,2018-003,,,
Southern Gulf Islands,2018-004,,,
Southern Gulf Islands,2018-005,,,
Southern Gulf Islands,2018-006,,,
Southern Gulf Islands,2018-007,,,
Southern Gulf Islands,2018-008,,,
Southern Gulf Islands,2018-009,,,
Southern Gulf Islands,2018-010,,,
Southern Gulf Islands,2018-011,,,
Southern Gulf Islands,2018-012,0.207,0.19,3
Southern Gulf Islands,2018-013,,,
Southern Gulf Islands,2018-014,,,
Southern Gulf Islands,2018-015,,,
Southern Gulf Islands,2018-016,,,
Southern Gulf Islands,2018-017,,,
Southern Gulf Islands,2018-018,,,
Southern Gulf Islands,2018-019,,,
Southern Gulf Islands,2018-020,,,
Southern Gulf Islands,2018-021,,,
Southern Gulf Islands,2018-022,0.96,0.353,3
Southern Gulf Islands,2018-023,,,
Southern Gulf Islands,2018-024,,,
Southern Gulf Islands,2018-025,,,
Southern Gulf Islands,2018-026,,,
Southern Gulf Islands,2018-027,,,
Southern Gulf Islands,2018-028,,,
Southern Gulf Islands,2018-029,,,
Southern Gulf Islands,2018-030,,,
Southern Gulf Islands,2018-031,,,
Southern Gulf Islands,2018-032,,,
Southern Gulf Islands,2018-033,1.687,0.277,3
Southern Gulf Islands,2018-034,,,
Southern Gulf Islands,2018-035,,,
Southern Gulf Islands,2018-036,,,
Southern Gulf Islands,2018-037,,,
Southern Gulf Islands,2018-038,,,
Southern Gulf Islands,2018-039,,,
Southern Gulf Islands,2018-040,,,
Southern Gulf Islands,2018-041,2.067,0.763,3
Southern Gulf Islands,2018-042,,,
Southern Gulf Islands,2018-043,0.48,0.65,1
Southern Gulf Islands,2018-044,,,
Southern Gulf Islands,2018-045,,,
Southern Gulf Islands,2018-046,,,
Southern Gulf Islands,2018-047,,,
Southern Gulf Islands,2018-048,,,
Southern Gulf Islands,2018-049,,,
Southern Gulf Islands,2018-050,1.785,1.885,2
Southern Gulf Islands,2018-051,2.04,3.57,1
Southern Gulf Islands,2018-052,,,
Southern Gulf Islands,2018-053,,,
Southern Gulf Islands,2018-054,,,
Southern Gulf Islands,2018-055,0.223,2.033,3
Southern Gulf Islands,2018-056,,,
Southern Gulf Islands,2018-057,,,
Southern Gulf Islands,2018-058,,,
Southern Gulf Islands,2018-059,,,
Southern Gulf Islands,2018-060,,,
Southern Gulf Islands,2018-061,,,
Southern Gulf Islands,2018-062,,,
Southern Gulf Islands,2018-063,,,
Southern Gulf Islands,2018-064,,,
Southern Gulf Islands,2018-065,,,
Southern Gulf Islands,2018-066,,,
Southern Gulf Islands,2018-067,,,
Southern Gulf Islands,2018-068,0.92,2.895,4
Southern Gulf Islands,2018-069,,,
Southern Gulf Islands,2018-070,,,
Southern Gulf Islands,2018-071,,,
Southern Gulf Islands,2018-072,,,
Southern Gulf Islands,2018-073,,,
Southern Gulf Islands,2018-074,,,
Southern Gulf Islands,2018-075,,,
Southern Gulf Islands,2018-076,,,
Southern Gulf Islands,2018-077,,,
Southern Gulf Islands,2018-078,,,
Southern Gulf Islands,2018-079,,,
Southern Gulf Islands,2018-080,,,
Southern Gulf Islands,2018-081,,,
Southern Gulf Islands,2018-082,4.73,0.52,1
Southern Gulf Islands,2018-083,,,
Southern Gulf Islands,2018-084,,,
Southern Gulf Islands,2018-085,0.18,0.66,1
Southern Gulf Islands,2018-086,1.81,0.24,1
Southern Gulf Islands,2018-087,,,
Southern Gulf Islands,2018-088,,,
Southern Gulf Islands,2018-089,,,
Southern Gulf Islands,2018-090,1.71,0.36,1
Southern Gulf Islands,2018-091,3.35,0.99,2
Southern Gulf Islands,2018-092,,,
Southern Gulf Islands,2018-093,,,
Southern Gulf Islands,2018-094,,,
Southern Gulf Islands,2018-095,,,
Southern Gulf Islands,2018-096,,,
Southern Gulf Islands,2018-097,,,
Southern Gulf Islands,2018-098,,,
Southern Gulf Islands,2018-099,,,
Southern Gulf Islands,2018-100,,,
Southern Gulf Islands,2018-101,,,
Southern Gulf Islands,2018-102,,,
Southern Gulf Islands,2018-103,,,
Southern Gulf Islands,2018-104,,,
Southern Gulf Islands,2018-105,,,
Southern Gulf Islands,2018-106,,,
Southern Gulf Islands,2018-107,,,
Southern Gulf Islands,2018-108,,,
Southern Gulf Islands,2018-109,0.33,0.18,1
Southern Gulf Islands,2018-110,0.125,0.185,2
Southern Gulf Islands,2018-111,,,
Southern Gulf Islands,2018-112,,,
Southern Gulf Islands,2018-113,,,
Southern Gulf Islands,2018-114,,,
Southern Gulf Islands,2018-115,,,
Southern Gulf Islands,2018-116,,,
Southern Gulf Islands,2018-117,,,
Southern Gulf Islands,2018-118,,,
Southern Gulf Islands,2018-119,,,
Southern Gulf Islands,2018-120,,,
Southern Gulf Islands,2018-121,,,
Southern Gulf Islands,2018-122,,,
Southern Gulf Islands,2019-001,,,
Southern Gulf Islands,2019-002,,,
Southern Gulf Islands,2019-003,,,
Southern Gulf Islands,2019-004,,,
Southern Gulf Islands,2019-005,,,
Southern Gulf Islands,2019-006,,,
Southern Gulf Islands,2019-007,,,
Southern Gulf Islands,2019-008,,,
Southern Gulf Islands,2019-009,,,
Southern Gulf Islands,2019-010,,,
Southern Gulf Islands,2019-011,,,
Southern Gulf Islands,2019-012,,,
Southern Gulf Islands,2019-013,,,
Southern Gulf Islands,2019-014,,,
Southern Gulf Islands,2019-015,,,
Southern Gulf Islands,2019-016,,,
Southern Gulf Islands,2019-017,,,
Southern Gulf Islands,2019-018,0.26,0.2,1
Southern Gulf Islands,2019-019,,,
Southern Gulf Islands,2019-020,,,
Southern Gulf Islands,2019-021,,,
Southern Gulf Islands,2019-022,4.3,1.15,1
Southern Gulf Islands,2019-023,2.907,0.307,3
Southern Gulf Islands,2019-024,,,
Southern Gulf Islands,2019-025,,,
Southern Gulf Islands,2019-026,,,
Southern Gulf Islands,2019-027,,,
Southern Gulf Islands,2019-028,,,
Southern Gulf Islands,2019-029,,,
Southern Gulf Islands,2019-030,,,
Southern Gulf Islands,2019-031,,,
Southern Gulf Islands,2019-032,,,
Southern Gulf Islands,2019-033,,,
Southern Gulf Islands,2019-034,1.418,0.172,4
Southern Gulf Islands,2019-035,,,
Southern Gulf Islands,2019-036,,,
Southern Gulf Islands,2019-037,,,
Southern Gulf Islands,2019-038,,,
Southern Gulf Islands,2019-039,,,
Southern Gulf Islands,2019-040,,,
Southern Gulf Islands,2019-041,8.937,0.543,3
Southern Gulf Islands,2019-042,,,
Southern Gulf Islands,2019-043,,,
Southern Gulf Islands,2019-044,,,
Southern Gulf Islands,2019-045,,,
Southern Gulf Islands,2019-046,,,
Southern Gulf Islands,2019-047,,,
Southern Gulf Islands,2019-048,0.09,0.25,1
Southern Gulf Islands,2019-049,,,
Southern Gulf Islands,2019-050,,,
Southern Gulf Islands,2019-051,,,
Southern Gulf Islands,2019-052,0.43,0.723,3
Southern Gulf Islands,2019-053,,,
Southern Gulf Islands,2019-054,,,
Southern Gulf Islands,2019-055,,,
Southern Gulf Islands,2019-056,,,
Southern Gulf Islands,2019-057,,,
Southern Gulf Islands,2019-058,,,
Southern Gulf Islands,2019-059,,,
Southern Gulf Islands,2019-060,,,
Southern Gulf Islands,2019-061,,,
Southern Gulf Islands,2019-062,1.07,2.13,2
Southern Gulf Islands,2019-063,3.44,1.7,2
Southern Gulf Islands,2019-064,,,
Southern Gulf Islands,2019-065,,,
Southern Gulf Islands,2019-066,,,
Southern Gulf Islands,2019-067,,,
Southern Gulf Islands,2019-068,,,
Southern Gulf Islands,2019-069,,,
Southern Gulf Islands,2019-070,,,
Southern Gulf Islands,2019-071,,,
Southern Gulf Islands,2019-072,,,
Southern Gulf Islands,2019-073,,,
Southern Gulf Islands,2019-074,,,
Southern Gulf Islands,2019-075,,,
Southern Gulf Islands,2019-076,,,
Southern Gulf Islands,2019-077,,,
Southern Gulf Islands,2019-078,,,
Southern Gulf Islands,2019-079,,,
Southern Gulf Islands,2019-080,,,
Southern Gulf Islands,2019-081,1.88,0.25,1
Southern Gulf Islands,2019-082,,,
Southern Gulf Islands,2019-083,,,
Southern Gulf Islands,2019-084,,,
Southern Gulf Islands,2019-085,,,
Southern Gulf Islands,2019-086,,,
Southern Gulf Islands,2019-087,,,
Southern Gulf Islands,2019-088,,,
Southern Gulf Islands,2019-089,,,
Southern Gulf Islands,2019-090,,,
Southern Gulf Islands,2019-091,,,
Southern Gulf Islands,2019-092,0.303,0.727,3
Southern Gulf Islands,2019-093,,,
Southern Gulf Islands,2019-094,,,
Southern Gulf Islands,2019-095,,,
Southern Gulf Islands,2019-096,,,
Southern Gulf Islands,2019-097,,,
Southern Gulf Islands,2019-098,,,
Southern Gulf Islands,2019-099,,,
Southern Gulf Islands,2019-100,,,
Southern Gulf Islands,2019-101,,,
Southern Gulf Islands,2019-102,,,
Southern Gulf Islands,2019-103,,,
Southern Gulf Islands,2019-104,,,
Southern Gulf Islands,2019-105,,,
Southern Gulf Islands,2019-106,,,
Southern Gulf Islands,2019-107,,,
Southern Gulf Islands,2019-108,,,
Southern Gulf Islands,2019-109,,,
Southern Gulf Islands,2019-110,,,
Southern Gulf Islands,2019-111,,,
Southern Gulf Islands,2019-112,,,
Southern Gulf Islands,2019-113,,,
Southern Gulf Islands,2019-114,,,
Southern Gulf Islands,2019-115,,,
Southern Gulf Islands,2019-116,,,
Southern Gulf Islands,2019-117,,,
Southern Gulf Islands,2019-118,,,
Southern Gulf Islands,2019-119,,,
Southern Gulf Islands,2019-120,,,
Southern Gulf Islands,2019-121,,,
Southern Gulf Islands,2019-122,,,
Strait of Georgia North,2015-001,,,
Strait of Georgia North,2015-002,,,
Strait of Georgia North,2015-003,,,
Strait of Georgia North,2015-004,,,
Strait of Georgia North,2015-005,,,
Strait of Georgia North,2015-006,,,
Strait of Georgia North,2015-007,,,
Strait of Georgia North,2015-008,,,
Strait of Georgia North,2015-009,,,
Strait of Georgia North,2015-010,,,
Strait of Georgia North,2015-011,,,
Strait of Georgia North,2015-012,,,
Strait of Georgia North,2015-013,,,
Strait of Georgia North,2015-014,,,
Strait of Georgia North,2015-015,,,
Strait of Georgia North,2015-016,,,
Strait of Georgia North,2015-017,,,
Strait of Georgia North,2015-018,,,
Strait of Georgia North,2015-019,,,
Strait of Georgia North,2015-020,,,
Strait of Georgia North,2015-021,,,
Strait of Georgia North,2015-022,,,
Strait of Georgia North,2015-023,,,
Strait of Georgia North,2015-024,,,
Strait of Georgia North,2015-025,,,
Strait of Georgia North,2015-026,,,
Strait of Georgia North,2015-027,,,
Strait of Georgia North,2015-028,,,
Strait of Georgia North,2015-029,,,
Strait of Georgia North,2015-030,,,
Strait of Georgia North,2015-031,,,
Strait of Georgia North,2015-032,0.375,0.797,6
Strait of Georgia North,2015-033,,,
Strait of Georgia North,2015-034,,,
Strait of Georgia North,2015-035,,,
Strait of Georgia North,2015-036,,,
Strait of Georgia North,2015-037,,,
Strait of Georgia North,2015-038,,,
Strait of Georgia North,2015-039,,,
Strait of Georgia North,2015-040,,,
Strait of Georgia North,2015-041,,,
Strait of Georgia North,2015-042,,,
Strait of Georgia North,2015-043,,,
Strait of Georgia North,2015-044,,,
Strait of Georgia North,2015-045,,,
Strait of Georgia North,2015-046,,,
Strait of Georgia North,2015-047,,,
Strait of Georgia North,2015-048,,,
Strait of Georgia North,2015-049,,,
Strait of Georgia North,2015-050,,,
Strait of Georgia North,2015-051,,,
Strait of Georgia North,2015-052,,,
Strait of Georgia North,2015-053,0.01,0.47,3
Strait of Georgia North,2015-054,,,
Strait of Georgia North,2015-055,,,
Strait of Georgia North,2015-056,,,
Strait of Georgia North,2015-057,,,
Strait of Georgia North,2015-058,,,
Strait of Georgia North,2015-059,,,
Strait of Georgia North,2015-060,0,0.796,5
Strait of Georgia North,2015-061,,,
Strait of Georgia North,2015-062,,,
Strait of Georgia North,2015-063,,,
Strait of Georgia North,2015-064,,,
Strait of Georgia North,2015-065,,,
Strait of Georgia North,2015-066,,,
Strait of Georgia North,2015-067,,,
Strait of Georgia North,2015-068,,,
Strait of Georgia North,2015-069,,,
Strait of Georgia North,2015-070,,,
Strait of Georgia North,2015-071,,,
Strait of Georgia North,2015-072,,,
Strait of Georgia North,2015-073,,,
Strait of Georgia North,2015-074,,,
Strait of Georgia North,2015-075,,,
Strait of Georgia North,2015-076,,,
Strait of Georgia North,2015-077,,,
Strait of Georgia North,2015-078,,,
Strait of Georgia North,2015-079,,,
Strait of Georgia North,2015-080,,,
Strait of Georgia North,2015-081,,,
Strait of Georgia North,2015-082,,,
Strait of Georgia North,2015-083,,,
Strait of Georgia North,2015-084,,,
Strait of Georgia North,2015-085,,,
Strait of Georgia North,2015-086,0.283,3.25,3
Strait of Georgia North,2015-087,,,
Strait of Georgia North,2015-088,,,
Strait of Georgia North,2015-089,,,
Strait of Georgia North,2015-090,,,
Strait of Georgia North,2015-091,,,
Strait of Georgia North,2015-092,2.215,1.173,6
Strait of Georgia North,2015-093,,,
Strait of Georgia North,2015-094,,,
Strait of Georgia North,2015-095,,,
Strait of Georgia North,2015-096,,,
Strait of Georgia North,2015-097,,,
Strait of Georgia North,2015-098,,,
Strait of Georgia North,2015-099,,,
Strait of Georgia North,2015-100,,,
Strait of Georgia North,2015-101,,,
Strait of Georgia North,2015-102,,,
Strait of Georgia North,2015-103,,,
Strait of Georgia North,2015-104,,,
Strait of Georgia North,2015-105,,,
Strait of Georgia North,2015-106,,,
Strait of Georgia North,2015-107,,,
Strait of Georgia North,2015-108,,,
Strait of Georgia North,2015-109,,,
Strait of Georgia North,2015-110,,,
