ID,Name,lbl_shrt,type,type_num,type_x1,type_x2,type_x3,type_label,B,PB,TL_adjst,TL,QB,,
16,ZS2_CTH,ZS2,ZS,12,5.2,18.5,6,gela,9.8,20,2.8,2.8,26.7,,51.8
15,ZS3_CHA,ZS3,ZS,12,5.4,21,7,gela,6.8,5,3,3,13.9,,63
14,ZS4_LAR,ZS4,ZS,12,5.6,21,7,gela,3.3,90,2.4,2.4,128.6,,50.4
13,PZ1_CIL,PZ1,PZ,13,4,16.5,5.5,proto,9,90,2,2,257.1,,33
12,PZ2_DIN,PZ2,PZ,13,4.4,12,4,proto,10,50,1.9,1.9,156.3,,22.8
11,PZ3_HNF,PZ3,PZ,13,4.8,18,6,proto,5,80,2.4,2.4,145.5,,43.2
10,Insects,INS,IN,14,1,24,8,inse,0.0028,15,2.2,2.2,50,,52.8
9,Freshwater_prey,FRP,FP,15,1,27,9,misc,10,5,2,2,16.7,,54
8,PP1_DIA,DIA,PP,16,3,9,3,phyt,53,100,1,1,0,,9
7,PP2_NAN,NAN,PP,16,3.4,15,5,phyt,11,90,1,1,0,,15
6,PP3_PIC,PIC,PP,16,3.8,18,6,phyt,2.3,110,1,1,0,,18
5,BA1_BAC,BAC,BA,17,2,24,8,bac,4,140,2,2,466.7,,48
4,BH1-ZOS,ZOS,BH,20,2,24,8,bhab,0.028,24.5,1,1,0,,
3,BH2-KEL,KEL,BH,20,2,24,8,bhab,0.88,43,1,1,0,,
2,DET_Close,DT1,D,18,1,6,2,det,60,0,1,1,0,,6
1,DET_Real,DT2,D,18,1.1,24,8,det,60,0,1,1,0,,24
